userId,movieId,rating
1,6,5.0
1,21,3.5
1,20,4.0
1,41,3.5
1,11,4.0
1,26,4.5
1,7,3.5
1,25,4.0
1,33,4.5
1,44,3.0
1,35,3.5
1,18,1.0
1,37,3.5
2,25,4.5
2,21,4.5
2,11,4.5
2,18,5.0
2,49,4.0
2,7,4.5
2,33,4.5
2,37,4.5
2,31,5.0
2,12,4.5
2,35,4.5
2,41,3.5
2,19,2.0
2,24,3.0
2,6,2.0
2,50,2.0
2,8,1.5
2,32,2.0
3,8,4.5
3,12,4.0
3,41,3.5
3,20,5.0
3,43,4.5
3,37,4.5
3,18,4.0
3,11,4.0
3,25,5.0
3,21,4.5
3,10,3.5
3,35,3.5
3,6,4.5
3,7,4.5
3,33,4.5
3,42,1.5
3,39,1.0
3,36,1.5
3,24,3.0
3,5,3.5
3,27,2.5
3,26,1.0
4,32,4.0
4,34,5.0
4,17,5.0
4,45,4.0
4,1,4.5
4,2,4.0
4,44,5.0
4,27,5.0
4,19,4.0
4,9,4.5
4,36,4.5
4,39,3.5
4,50,4.5
4,15,4.5
4,47,2.0
4,3,4.0
4,28,3.5
4,43,1.5
4,4,1.5
4,6,2.5
4,41,1.0
5,8,4.5
5,41,4.0
5,11,4.5
5,43,4.0
5,35,5.0
5,21,4.0
5,49,4.0
5,37,3.5
5,33,3.5
5,23,4.5
5,18,4.5
5,10,3.5
5,26,4.5
5,4,2.5
5,19,2.0
5,5,2.5
5,3,2.5
5,29,3.0
5,47,3.5
6,20,4.5
6,35,5.0
6,31,3.5
6,18,4.0
6,10,4.0
6,7,5.0
6,25,4.0
6,37,4.0
6,12,4.0
6,28,4.0
6,41,4.0
6,49,4.0
6,6,5.0
6,40,4.0
6,48,3.5
6,9,1.5
6,4,2.5
6,1,1.5
6,8,2.0
7,24,4.0
7,3,4.0
7,48,3.5
7,16,4.5
7,29,3.5
7,42,4.0
7,46,3.5
7,40,4.0
7,4,5.0
7,39,3.5
7,13,1.0
7,6,1.0
7,38,3.5
7,8,2.0
8,43,4.0
8,7,4.0
8,8,4.5
8,31,4.0
8,25,4.0
8,33,4.5
8,11,3.5
8,10,4.0
8,35,5.0
8,12,5.0
8,5,1.5
8,45,2.0
8,19,1.0
8,42,1.5
8,22,2.0
9,44,4.0
9,17,4.5
9,36,4.5
9,39,4.0
9,34,4.5
9,1,4.0
9,45,4.0
9,19,5.0
9,50,5.0
9,2,3.5
9,9,4.0
9,27,4.0
9,15,3.5
9,32,4.5
9,23,1.0
9,14,3.5
9,40,3.5
9,38,2.5
9,3,3.5
9,6,2.5
10,13,5.0
10,3,4.5
10,16,5.0
10,22,4.0
10,47,3.5
10,42,4.5
10,14,4.0
10,30,4.0
10,38,4.0
10,40,5.0
10,48,4.5
10,29,4.0
10,20,3.5
10,23,1.5
10,12,3.5
10,8,2.5
10,32,2.0
10,4,3.5
11,3,4.5
11,40,4.5
11,14,5.0
11,24,4.0
11,22,3.5
11,16,5.0
11,4,4.0
11,38,4.5
11,13,5.0
11,47,3.5
11,49,1.5
11,35,3.5
11,30,1.5
11,28,1.0
11,42,2.5
12,18,4.0
12,26,4.0
12,31,3.5
12,8,4.0
12,25,5.0
12,23,4.5
12,12,5.0
12,35,4.5
12,7,4.0
12,11,4.5
12,21,3.5
12,28,4.0
12,49,4.0
12,37,4.5
12,32,2.5
12,43,3.5
12,42,3.5
12,47,1.5
12,19,1.5
12,24,2.5
13,25,4.0
13,8,4.5
13,20,4.0
13,23,4.5
13,41,4.0
13,28,4.0
13,10,4.5
13,43,3.5
13,6,4.5
13,26,4.5
13,31,3.5
13,35,4.0
13,7,4.0
13,37,5.0
13,48,3.5
13,44,3.0
13,4,4.0
13,21,3.0
13,12,4.0
13,19,3.5
13,5,3.0
14,31,4.0
14,41,4.0
14,33,4.5
14,12,4.0
14,35,4.0
14,20,5.0
14,11,3.5
14,28,3.5
14,10,4.0
14,25,3.5
14,49,4.0
14,21,4.0
14,43,4.0
14,37,4.0
14,4,3.5
14,17,2.5
14,38,2.5
14,34,4.0
14,2,2.0
14,39,2.0
15,44,4.5
15,50,5.0
15,34,5.0
15,36,5.0
15,15,4.5
15,32,5.0
15,39,4.5
15,9,4.5
15,45,3.5
15,19,4.0
15,1,5.0
15,2,4.0
15,27,4.0
15,17,4.0
15,41,4.0
15,28,2.5
15,29,3.5
15,33,2.5
15,24,3.0
15,46,1.0
16,39,3.5
16,2,3.5
16,50,4.5
16,1,4.5
16,44,4.0
16,15,4.5
16,34,4.5
16,27,4.0
16,36,4.5
16,17,4.5
16,10,1.0
16,13,2.0
16,24,3.0
16,9,4.0
16,47,2.0
17,8,4.5
17,43,4.0
17,20,4.0
17,10,4.0
17,23,4.5
17,31,4.0
17,25,5.0
17,35,4.5
17,7,3.5
17,28,5.0
17,39,4.0
17,13,2.0
17,37,3.5
17,15,2.5
17,44,2.5
18,17,5.0
18,19,4.0
18,15,4.0
18,2,4.5
18,50,4.0
18,32,5.0
18,44,4.5
18,27,4.0
18,34,3.5
18,36,5.0
18,45,3.5
18,39,4.5
18,1,4.0
18,9,4.5
18,42,2.0
18,43,1.5
18,40,3.0
18,4,2.0
18,8,2.5
18,13,2.0
18,11,4.0
19,26,4.5
19,33,5.0
19,21,4.5
19,23,4.0
19,41,4.5
19,10,4.0
19,7,4.5
19,49,4.5
19,43,4.5
19,12,5.0
19,31,4.5
19,24,3.0
19,18,1.5
19,30,1.0
19,15,1.0
19,25,2.0
19,1,4.0
20,10,4.0
20,6,3.5
20,23,4.5
20,35,3.5
20,37,3.5
20,20,4.5
20,12,4.0
20,8,5.0
20,43,3.5
20,11,4.5
20,33,4.5
20,7,4.5
20,21,4.0
20,47,2.0
20,36,3.0
20,41,3.0
20,48,3.0
20,29,4.0
20,40,1.5
21,40,4.5
21,4,4.0
21,13,3.5
21,14,4.0
21,46,4.0
21,30,5.0
21,47,3.5
21,48,4.0
21,3,4.0
21,42,4.5
21,22,4.5
21,17,3.0
21,34,3.5
21,10,3.5
21,43,1.0
21,19,1.5
22,44,5.0
22,36,4.5
22,17,4.5
22,32,3.5
22,2,4.0
22,39,4.5
22,50,5.0
22,19,4.5
22,15,3.5
22,9,4.5
22,27,4.5
22,45,4.5
22,1,4.5
22,34,4.0
22,47,2.5
22,40,1.5
22,24,2.0
22,16,2.0
22,38,3.0
22,28,3.5
22,37,2.0
23,23,4.5
23,28,4.5
23,41,4.0
23,7,4.0
23,33,4.0
23,37,4.5
23,12,4.5
23,11,4.5
23,31,4.0
23,35,4.5
23,18,5.0
23,21,4.0
23,6,4.5
23,10,2.5
23,2,1.5
23,22,4.0
23,15,3.5
23,27,2.5
23,1,1.5
24,48,4.0
24,42,4.5
24,16,4.5
24,30,3.5
24,46,3.5
24,24,4.5
24,29,5.0
24,47,4.0
24,4,4.5
24,14,4.0
24,40,3.5
24,38,4.5
24,22,5.0
24,41,2.5
24,11,2.5
24,36,2.5
24,39,2.0
24,28,1.5
24,27,3.0
25,20,5.0
25,31,3.5
25,7,5.0
25,25,4.0
25,35,3.5
25,26,5.0
25,28,3.5
25,18,5.0
25,43,3.5
25,37,3.5
25,8,5.0
25,49,5.0
25,5,3.5
25,41,3.5
25,21,3.5
25,29,2.0
25,34,2.0
25,6,3.0
